,TP,assignee_id
416,1.0,org_FwbYnNBMzewgTCQfpDRl
417,1.0,per_0Ouctp2aqWY8TwlNN0M0
418,12.0,org_kUiRF20b57YVvg10HeGN
419,3.0,org_y6WNqEMDe1sf2twREbDT
420,76.0,org_EklVp35mjtOBhmM1c9jL
421,6.0,org_qC9uwQePOftDKSmsgvh3
422,1.0,org_7XAbvoDN711HoiZWDpce
423,18.0,org_Mtom0W3ercDTrAjc0dHn
424,7.0,org_5lThjKpbASHqxDNuzBqB
425,4.0,org_NiRogmgPtx1DsHd8mrkn
426,2.0,org_zZ8H5iHZ9IRuXlYl5K1k
427,3.0,org_sB6aIpmOgsFI3WXwWHnb
428,40.0,org_FMHmC7nBRK0V3TaIH8Ob
429,105.0,org_0WOySJHfPSxZcPBZUspt
430,2.0,org_S5R5bLwZ4q0qQpPlDWlj
431,74.0,org_bdXEgUOJE4kidLR7iq0k
432,209.0,org_vP51qMVFuEnDNbbeu1Tc
433,47.0,org_4hDqU0AaLCqB6DUblLtj
434,6.0,org_4I4qiJMfr7ZYuJXAQpRZ
435,40.0,org_HWrRJTrPCY5qDrQ4OitB
436,9.0,org_73ROIF4TwDmbnkeUZp5n
437,19.0,org_prsL9dJSE9e21mpsolGc
438,2.0,org_7EdfLN7mheHtHxgE25P5
439,4.0,org_87qcDmWdMFohvrLEV2RD
440,11.0,org_qRt74el5ILAL6DqwSlTu
441,122.0,org_kp3yM2BSsSdz6cuqEaMZ
442,4.0,org_jGpmz7RXwStf4DMb9ZIq
443,28.0,org_laoD0s7azh7edw1OU7Pa
444,1.0,org_hocJGRKIdhXbXCcJr5I9
445,5.0,org_8vmBGVQ0vvx78ZArLu1n
446,52.0,org_gZQR9bOnstCDMwyr562C
447,1.0,org_tgnTx5c3yeg6WJKD8q6U
448,2.0,org_TZShBkaVQirPxF76CC7P
449,5.0,org_Mr0TpXJczcTvGDjTNawE
450,3.0,org_WLS1S8X9Njl9xXEwvmHe
451,1.0,org_eDE6VUXCrtY9FPH9Q9o9
452,1.0,org_0uYiiZE4clNciJiT2hcB
453,1.0,org_mSLee5CH9gU7QhQ7hJzo
454,2.0,org_9hqWO4VSe1uKOLQr6h5f
455,2.0,org_7ZI6Rskal25VBnzQ1lo3
456,4.0,org_MJhYroOBq1WrM80DhFB5
457,2.0,org_efUswVGKpUu1NBvKdhqo
458,50.0,org_sPH2jxESriDMq6VlWwj7
459,2.0,org_g89ofjXTKhYt3CuZK9TA
460,3.0,org_PrpGzyj5XMClP38Mp0Gy
461,25.0,org_5IslzNPAMgfBn8QYoxq4
462,2.0,org_IDV3V0utnGDGwgpvce5A
